Server Partion Basic_size(GB) Free_size(GB) F_Percentage Share_name Share_path
Server Partion Basic_size(GB) Free_size(GB) F_Percentage Share_name Share_path
idmt-filef J: 2794.52 1816.37 64.99% wo_project_data G:\Projects\woodlies\project\data
idmt-filef J: 2794.52 1816.37 64.99% SS_data J:\Projects\ShenShou\Project\data
idmt-filef J: 2794.52 1816.37 64.99% TB_Post J:\Projects\Tofuboy\Post_Production
idmt-filef J: 2794.52 1816.37 64.99% SS_Project J:\Projects\ShenShou\Project
idmt-filef J: 2794.52 1816.37 64.99% WuXing G:\Projects\WuXing
idmt-filef J: 2794.52 1816.37 64.99% CB_Project_data G:\Projects\ChangBaiShan\Project\data
idmt-filef J: 2794.52 1816.37 64.99% RR_Project J:\Projects\RainbowRiders\Project
idmt-filef J: 2794.52 1816.37 64.99% TM_Pre_Comp G:\Projects\TM_Pre_Comp
idmt-filef J: 2794.52 1816.37 64.99% Ninjago_Project F:\Projects\Ninjago\Project
idmt-filef J: 2794.52 1816.37 64.99% CB_sourceimages G:\Projects\ChangBaiShan\Project\sourceimages
idmt-filef J: 2794.52 1816.37 64.99% TM_Fina_Comp G:\Projects\TM_Fina_Comp
idmt-fileg F: 2794.52 1003.45 35.90% WAWA F:\Projects\WAWA
idmt-fileg F: 2794.52 1003.45 35.90% SS_COMP F:\Projects\SS_COMP
idmt-fileg F: 2794.52 1003.45 35.90% RR_Mov F:\Projects\RR_Mov
idmt-fileg F: 2794.52 1003.45 35.90% RR_Reference F:\Projects\RR_Reference
idmt-fileg F: 2794.52 1003.45 35.90% Backup_edit F:\Backup_edit
idmt-fileg F: 2794.52 1003.45 35.90% Daily_CB F:\Dailies\ChangBaiShan
idmt-fileh F: 2794.52 1633.98 58.47% train-product F:\Training\train-product
idmt-fileh F: 2794.52 1633.98 58.47% cmr F:\Cmr
idmt-fileh F: 2794.52 1633.98 58.47% Upload F:\Training\Upload
idmt-fileh F: 2794.52 1633.98 58.47% sanxiaoqiang F:\Projects\sanxiaoqiang
idmt-fileh F: 2794.52 1633.98 58.47% Market F:\Training\Market
idmt-fileh F: 2794.52 1633.98 58.47% consultant F:\Training\consultant
idmt-filei G: 957.11 179.89 18.79% Scenes G:\Scenes
idmt-filei G: 957.11 179.89 18.79% scratch G:\scratch
idmt-filei G: 957.11 179.89 18.79% mov G:\Resource\mov
idmt-filej G: 273.46 272.21 99.54% Scenes G:\Scenes
idmt-filek G: 2794.52 1237.21 44.27% Orla_temp_20101214 G:\Orla_temp_20101214
idmt-filek G: 2794.52 1237.21 44.27% Scenes G:\NetRender\Scenes
idmt-filek G: 2794.52 1237.21 44.27% TM_Reference G:\Projects\TM_Reference
idmt-filek G: 2794.52 1237.21 44.27% slamdunk G:\Projects\slamdunk
idmt-filek G: 2794.52 1237.21 44.27% EVEN G:\NetRender\Scenes\ROMA\EVEN
idmt-filek G: 2794.52 1237.21 44.27% LR_Project_Data G:\Projects\LORDoftheRINGS\Project\Data
idmt-filem F: 1114.00 151.16 13.56% Groups I:\Groups
idmt-filem F: 1114.00 151.16 13.56% Lib_Limited F:\Library
idmt-filem F: 1114.00 151.16 13.56% cmr G:\cmr
idmt-filem F: 1114.00 151.16 13.56% restore G:\restore
idmt-filem F: 1114.00 151.16 13.56% EditBack2 G:\EditBack2
idmt-filem F: 1114.00 151.16 13.56% Marketing F:\Groups\Marketing
idmt-filem F: 1114.00 151.16 13.56% OFFICE F:\Groups\OFFICE
idmt-filem F: 1114.00 151.16 13.56% Gen_Manage F:\Groups\Gen_Manage
idmt-filem F: 1114.00 151.16 13.56% TD F:\Groups\TD
idmt-filem F: 1114.00 151.16 13.56% Photo G:\Photo
idmt-filem F: 1114.00 151.16 13.56% Market_Pub F:\Groups\Market_Pub
idmt-filem G: 2291.99 1038.88 45.32% Groups I:\Groups
idmt-filem G: 2291.99 1038.88 45.32% Lib_Limited F:\Library
